employee_id,employee_name,department,working_hours_per_day,sleep_hours,stress_level,meetings_per_day,work_mode,productivity_score,salary,leaves_taken,burnout_risk
EMP5968,Mrs. Sandra Morrow,Operations,6.8,8.8,2,9,Hybrid,61,236267.0,27,Low
EMP2041,Christina Griffin,Marketing,9.9,5.5,9,7,Onsite,42,25262.0,26,Medium
EMP4399,Deborah Carr,Finance,14.3,7.1,10,10,Onsite,70,53399.0,12,High
EMP1008,Timothy Mitchell,Operations,10.7,4.0,4,2,Onsite,69,124471.0,8,High
EMP2292,Anthony Bond,Operations,8.9,6.9,1,4,Remote,47,65864.0,1,High
EMP4336,Mark Sutton,Marketing,6.2,6.7,2,1,Hybrid,82,143321.0,15,High
EMP2412,Sue Ortiz,Support,8.7,5.5,7,7,Hybrid,41,171514.0,0,Low
EMP3110,Robin Burke,Sales,5.6,5.1,7,10,Onsite,47,233323.0,29,Medium
EMP3643,Amy Carr,Marketing,4.0,7.8,3,9,Hybrid,99,156721.0,29,High
EMP1538,Jason Henson,Support,14.1,4.5,1,10,Remote,96,109131.0,12,Medium
EMP2047,Alexander Lopez,Marketing,14.5,5.0,3,10,Remote,99,25536.0,19,Low
EMP5128,Kimberly Moore,HR,7.2,5.5,10,11,Onsite,90,208594.0,21,Medium
EMP5558,Michelle Shannon,HR,8.3,6.5,8,12,Remote,47,71515.0,11,Low
EMP5415,Michael Cain,Marketing,14.2,5.8,7,4,Hybrid,84,231748.0,30,High
EMP1065,,Finance,12.4,6.1,4,4,Remote,68,45311.0,22,Medium
EMP3907,Makayla Smith,Support,13.0,5.5,8,5,Remote,88,133208.0,27,Low
EMP3519,Lance Williams,Marketing,8.4,8.1,3,1,REMOTE,94,87791.0,0,Low
EMP2476,Frank Hamilton,IT,11.9,6.6,6,1,Onsite,44,157890.0,14,Low
EMP5369,Kimberly Miller,IT,10.1,4.9,8,11,Hybrid,94,155120.0,8,Low
EMP2820,Eric Vaughn,,10.4,8.0,8,5,Remote,85,70932.0,9,High
EMP5201,Melissa Tate,Operations,9.9,6.9,1,9,Hybrid,60,244606.0,21,Low
EMP3072,Amy Foster,Marketing,13.7,3.8,5,2,Onsite,67,226602.0,0,Low
EMP4226,Ashley Brown,IT,4.2,5.0,3,2,Hybrid,58,219222.0,3,Low
EMP3937,Luis Moore,Support,10.4,4.0,5,3,Hybrid,95,229508.0,20,High
EMP1393,,Marketing,11.4,3.3,4,12,Remote,73,37039.0,30,Medium
EMP4978,Richard Lee,Finance,8.4,3.4,10,11,Remote,86,110783.0,11,High
EMP2144,,Sales,14.5,5.2,7,2,Onsite,70,fifty thousand,13,High
EMP1290,Cody Schmitt,Finance,7.3,4.1,9,7,Onsite,55,247649.0,7,Low
EMP2858,Melissa Lucas,IT,8.1,7.1,3,5,Hybrid,76,149131.0,2,Medium
EMP2025,Edward Meyer,Support,9.3,4.9,8,5,Onsite,90,123908.0,15,High
EMP5235,James Trevino,Operations,11.6,5.6,5,8,Remote,68,132312.0,29,High
EMP3288,Molly Boone,IT,6.9,3.4,3,0,Hybrid,49,151314.0,29,Low
EMP2569,Daniel Davis,Sales,5.0,8.5,3,11,Onsite,45,73669.0,10,Low
EMP4828,David Mitchell,Operations,14.7,5.3,8,1,Hybrid,61,131456.0,24,Low
EMP4428,Natasha Ford,Marketing,6.7,8.2,7,7,Onsite,99,78163.0,19,High
EMP1422,Kelly Calderon,HR,4.0,8.5,4,12,Hybrid,48,114327.0,22,Low
EMP5487,Chad Lloyd,Support,5.0,8.6,5,6,Onsite,92,184871.0,6,High
EMP1079,,Support,13.1,4.5,5,10,Onsite,78,236164.0,3,Low
EMP4339,Bobby Kim,HR,10.0,5.4,2,12,Remote,86,188826.0,1,Low
EMP2397,Brandon Bailey,Operations,5.2,7.1,1,2,Remote,66,249464.0,7,Medium
EMP4012,Matthew Cox,Operations,13.2,8.4,9,2,REMOTE,47,117347.0,27,Medium
EMP3451,,Marketing,14.3,7.1,1,1,Hybrid,82,60450.0,5,High
EMP1023,,Finance,4.6,3.4,1,5,Onsite,44,159782.0,7,Medium
EMP5184,Kevin Wells,Support,14.5,7.7,4,4,Remote,73,68278.0,24,Medium
EMP1810,Cheryl Brown,IT,13.2,7.8,1,9,Hybrid,51,112950.0,2,Low
EMP5032,Jennifer Taylor,Support,8.5,5.8,2,3,Hybrid,66,106046.0,8,High
EMP5244,Kathryn Gould,Sales,8.0,3.8,9,3,Onsite,70,224244.0,20,Low
EMP3952,Charles Thompson,Marketing,5.3,6.9,10,4,Hybrid,58,211791.0,2,Low
EMP2839,Monica Gibbs,Operations,11.9,5.3,9,3,Hybrid,70,239316.0,6,High
EMP1553,Peter Mueller,Sales,10.0,4.7,2,4,Hybrid,46,76751.0,23,Medium
EMP1787,John Burton,Finance,8.5,6.2,8,5,Remote,54,215120.0,9,Low
EMP2808,Heidi Watson,HR,12.9,3.9,8,6,Hybrid,85,166950.0,27,Low
EMP3080,Christina Klein,Support,7.8,5.9,3,1,Hybrid,86,105304.0,23,Medium
EMP3997,James Sparks,HR,4.3,6.8,1,8,Hybrid,80,42194.0,14,Low
EMP1033,Tyrone Rogers,IT,4.9,4.1,10,1,Onsite,83,86657.0,12,Low
EMP5211,Jennifer Ellis,HR,10.4,4.4,2,6,Remote,85,80799.0,17,Medium
EMP1944,Aaron Carpenter,Operations,11.9,5.6,8,10,Remote,71,56067.0,7,Low
EMP4575,Sonia Tran,Sales,8.8,7.9,5,2,Remote,58,90297.0,23,Medium
EMP5676,Matthew Anderson,IT,7.1,3.1,9,1,Remote,46,203280.0,6,High
EMP4106,Brandon Davis,Marketing,9.6,8.8,7,6,Remote,99,103312.0,23,Medium
EMP2471,Teresa Mata,,4.4,5.2,9,3,Hybrid,66,40357.0,18,High
EMP1776,Martin Crawford,Sales,7.1,8.1,1,11,Onsite,47,183288.0,5,Low
EMP4035,Jose Hall,Operations,5.3,4.0,4,1,Onsite,82,75900.0,15,Medium
EMP1838,,Finance,11.1,7.2,9,11,Remote,89,78664.0,4,High
EMP2295,,IT,9.7,8.9,3,11,Remote,53,129963.0,19,Medium
EMP3705,Madeline Mayo,Marketing,7.3,8.2,5,1,Remote,93,231955.0,27,Medium
EMP5918,Luis Williams,Finance,12.9,4.6,2,12,Hybrid,73,82734.0,27,High
EMP4262,Kenneth Little,,12.5,4.5,10,4,Remote,86,178380.0,1,Low
EMP3245,Robert Watson,Marketing,8.7,8.4,8,11,Remote,100,101721.0,20,High
EMP1333,,Sales,10.0,7.7,6,11,Onsite,97,237938.0,17,Low
EMP3276,Gina Greene,HR,5.3,3.9,8,6,Remote,69,222305.0,21,Low
EMP4482,Justin Ortiz,Operations,7.7,3.4,8,0,Hybrid,59,112972.0,1,High
EMP3535,Shannon Rodriguez,IT,12.9,7.2,8,2,Remote,98,34196.0,6,Medium
EMP5758,Francisco Leach,Support,12.8,5.6,1,7,Hybrid,57,123914.0,3,Low
EMP4998,Tom Monroe,Marketing,12.8,6.2,9,0,Remote,85,224028.0,18,High
EMP2543,Ann Olson,Marketing,14.2,7.3,3,2,Remote,73,212454.0,26,Medium
EMP5274,Stuart Evans,Support,10.2,6.6,2,6,Remote,82,127612.0,0,High
EMP1763,,Finance,11.3,5.8,4,8,Hybrid,64,246073.0,29,Low
EMP1746,Alexander Evans,Sales,7.9,5.0,4,11,Remote,88,200864.0,25,Medium
EMP1168,,HR,14.8,3.3,4,4,Hybrid,100,80373.0,24,Medium
EMP4789,Jessica Nelson MD,IT,9.5,6.5,8,1,Hybrid,82,230868.0,2,Low
EMP3512,James Lee,Operations,13.2,8.1,9,7,Hybrid,65,32337.0,11,Medium
EMP5865,James Bell,Support,13.3,6.2,5,3,remote,90,158775.0,29,Low
EMP5542,Heather Oneal,Operations,9.2,8.3,6,6,Remote,49,196062.0,30,Medium
EMP5407,William Spencer,Sales,10.6,3.0,5,10,Hybrid,93,221093.0,16,Medium
EMP4790,Laura Thompson,Operations,14.9,3.7,9,9,Remote,66,70191.0,5,Medium
EMP2600,,Sales,5.7,5.0,10,4,Onsite,52,159976.0,26,Medium
EMP3835,Mrs. Joyce Phillips MD,Marketing,10.1,6.2,8,3,Remote,40,249703.0,21,Medium
EMP5291,Ryan Williams,Finance,7.6,4.9,10,4,Onsite,64,136979.0,0,Low
EMP3741,Elizabeth Cochran,Finance,8.0,8.7,8,10,Hybrid,55,47530.0,20,Medium
EMP1497,,Finance,7.9,5.6,10,4,Hybrid,96,217169.0,2,Low
EMP4852,Albert Parks,IT,4.6,4.4,1,5,Remote,98,44037.0,12,Low
EMP3191,James Lewis,IT,7.6,3.8,7,4,Hybrid,72,36272.0,26,Medium
EMP1410,Kimberly Hill,HR,14.0,8.0,6,1,Onsite,42,145847.0,1,Medium
EMP3195,Bradley Cook,Operations,,4.6,7,2,Hybrid,76,168163.0,10,High
EMP4624,Diana Ramirez,Finance,10.3,4.1,7,4,Hybrid,94,29547.0,10,High
EMP5439,,IT,10.7,6.6,10,6,Onsite,64,76336.0,7,Low
EMP5108,Kimberly Anderson,Operations,5.9,8.3,8,1,Remote,74,133489.0,20,Medium
EMP1624,Maria Fischer MD,Finance,10.0,3.2,7,8,Onsite,88,46823.0,3,Low
EMP3480,Joshua Anderson,Support,14.0,7.3,6,9,Remote,46,138700.0,3,High
EMP4540,Raymond Miller,IT,,3.7,4,10,Hybrid,92,28399.0,15,Medium
EMP3939,Gregory Taylor,Operations,12.3,6.2,6,11,Hybrid,90,198981.0,29,Low
EMP3908,Diana Kelley,Sales,4.5,3.1,2,9,Remote,93,246365.0,5,Low
EMP2878,Taylor Cox,Operations,6.6,6.9,9,0,Remote,43,193533.0,26,Medium
EMP4270,Angela Thomas,Finance,14.5,7.6,5,8,Hybrid,97,219699.0,29,High
EMP5997,Thomas Williams,HR,5.3,8.4,4,3,Remote,77,112614.0,13,Low
EMP1084,,it,10.7,5.3,1,7,Remote,94,110200.0,5,Medium
EMP3342,Joyce Rivera,Support,7.9,7.5,10,10,Remote,92,67793.0,26,High
EMP4532,Jennifer Ellis,Marketing,8.9,6.7,9,10,Hybrid,56,243269.0,18,High
EMP4044,Stephanie Wilson,Finance,11.6,8.8,3,8,Hybrid,77,115993.0,2,Medium
EMP5167,Eric Hunter,Sales,13.4,4.3,9,9,Hybrid,45,187104.0,3,Medium
EMP4889,Adam Gentry,IT,7.4,8.6,1,7,Hybrid,84,212136.0,8,High
EMP1705,,Finance,8.3,7.6,1,3,Hybrid,58,140226.0,12,Medium
EMP2862,Kathleen Kline,Marketing,13.7,5.3,3,9,Hybrid,60,46314.0,16,High
EMP5321,Cheyenne Ward,Support,7.0,,5,4,Hybrid,76,117378.0,0,Low
EMP5643,Curtis Alvarado,Support,6.0,3.4,10,9,Remote,76,150369.0,27,Low
EMP1106,,Finance,8.8,7.9,2,7,Onsite,62,132046.0,10,Low
EMP3810,Benjamin Lee Jr.,Support,9.6,8.5,4,8,Hybrid,68,181359.0,29,Low
EMP5228,Sierra Murray,Sales,4.7,5.5,7,6,Hybrid,86,30119.0,4,Medium
EMP4793,Kathleen Brown,HR,12.7,7.9,1,6,Onsite,76,92787.0,22,Low
EMP1485,Jennifer Soto,HR,14.4,8.5,7,0,Remote,54,83804.0,23,High
EMP4729,Patricia Bartlett,Operations,6.7,9.0,7,7,Hybrid,55,121472.0,28,High
EMP1654,Jennifer Boyd,IT,7.1,5.5,6,1,Remote,46,162153.0,21,Low
EMP1812,Megan Lowery,Marketing,5.1,8.1,high,6,Remote,89,66354.0,0,Low
EMP3988,Michael Roberts,Finance,14.5,4.8,10,11,Onsite,41,54610.0,9,High
EMP4653,Anthony Foster,Operations,6.1,4.6,10,12,Remote,99,210707.0,2,Low
EMP2235,Christina Cox,Marketing,14.9,6.9,8,2,Remote,48,117730.0,23,Medium
EMP1008,Timothy Mitchell,Operations,10.7,4.0,4,2,Onsite,69,124471.0,8,High
EMP2074,Mark Becker,Operations,12.6,5.0,8,11,Hybrid,84,147526.0,19,High
EMP4053,Melinda Brooks,Operations,7.5,6.6,6,1,Hybrid,97,125174.0,9,High
EMP1642,,Operations,5.7,7.4,9,8,remote,47,91404.0,15,Low
EMP2738,Stephanie Nichols,Marketing,11.1,5.6,8,9,Onsite,95,162039.0,1,High
EMP2729,Margaret Mcdonald DDS,Operations,13.6,8.7,1,6,Hybrid,93,91965.0,3,Medium
EMP4580,Charlotte Kelly,IT,7.6,4.6,2,12,Remote,75,162110.0,6,High
EMP5730,Jason Chan,Finance,10.3,7.6,3,3,Onsite,53,44762.0,26,High
EMP2421,Curtis Arnold,Operations,9.3,4.1,4,8,Hybrid,56,240400.0,19,High
EMP5797,,Marketing,7.0,7.1,3,0,Hybrid,46,127416.0,10,Low
EMP1586,Angela Davis,Support,6.0,6.4,8,4,Onsite,59,176427.0,11,Medium
EMP1157,,Sales,8.8,7.5,6,12,Onsite,48,170849.0,1,High
EMP5074,Melissa Hernandez,Marketing,11.5,4.1,2,0,Hybrid,83,70127.0,19,High
EMP2319,Bethany Martin,Support,4.7,7.9,7,7,Remote,53,39176.0,6,High
EMP3201,Paula Marks,Operations,10.9,5.0,3,1,Hybrid,65,202929.0,27,Low
EMP4528,Casey Hart,IT,9.3,3.3,6,9,Hybrid,54,98442.0,2,Low
EMP5062,Wesley Bentley,Operations,10.0,3.1,4,1,Hybrid,84,245025.0,30,Medium
EMP5401,Clarence Bass,Marketing,13.1,8.7,4,6,Remote,57,96183.0,28,Low
EMP1179,Alexis Garcia,it,9.6,4.9,8,0,Remote,43,121662.0,26,High
EMP4647,Brittany Watts,Marketing,5.6,8.6,10,4,Hybrid,61,65029.0,1,High
EMP2001,,Finance,7.2,4.0,5,5,Onsite,85,222878.0,13,High
EMP4331,Alexander Velasquez,Sales,11.4,7.2,2,8,Hybrid,87,121591.0,11,Low
EMP5284,Nathan Foster,Sales,8.9,7.8,5,11,Onsite,68,141009.0,2,High
EMP1167,Lynn Williams,IT,7.8,3.7,10,7,Remote,73,199884.0,9,Medium
EMP1080,Brent Knight,IT,,5.6,6,1,Hybrid,72,194749.0,10,Medium
EMP5194,Christina Chandler,Marketing,12.2,7.7,6,5,Hybrid,85,190306.0,8,Medium
EMP1346,Joshua Villarreal,Sales,7.9,5.7,3,10,Onsite,85,234875.0,9,Low
EMP3843,Kimberly Freeman,IT,12.9,3.2,1,3,Remote,59,149477.0,26,Low
EMP2703,Linda Rogers,IT,5.9,3.6,6,3,Hybrid,45,135069.0,2,Medium
EMP1626,Michael Cabrera,Support,5.4,6.2,3,0,Hybrid,42,198945.0,11,Medium
EMP2360,David Duncan,IT,7.9,3.4,6,5,Remote,49,229345.0,10,Medium
EMP5519,Matthew Aguilar,Operations,5.6,7.3,2,0,Onsite,40,118387.0,28,Medium
EMP2765,Joel Raymond,,5.8,4.2,10,12,Remote,88,72013.0,26,High
EMP1468,,Operations,9.3,5.0,5,10,Onsite,60,97583.0,8,High
EMP5579,John Larson,HR,11.1,4.3,3,12,Hybrid,94,189536.0,18,Medium
EMP1681,Emily Goodwin,Sales,11.5,3.9,2,1,Remote,87,39296.0,7,Medium
EMP4972,Mackenzie Adams,HR,14.5,3.2,9,11,Onsite,49,176528.0,30,Medium
EMP2255,Kathryn Lucas,Sales,8.9,7.3,7,1,Remote,70,134839.0,16,Low
EMP1977,Katherine Wagner,Operations,5.2,6.2,1,6,Hybrid,47,28487.0,5,Medium
EMP1029,,Marketing,5.8,5.9,4,6,Remote,97,40370.0,5,Medium
EMP3499,Mariah Martin,it,14.3,5.5,1,8,Hybrid,43,121178.0,12,Medium
EMP2751,Allison Duncan,HR,11.3,4.6,high,3,Remote,93,207210.0,7,Medium
EMP4113,Carolyn Massey,Operations,12.0,4.7,8,4,Onsite,60,180978.0,15,Low
EMP1655,,Sales,6.0,3.2,2,7,Onsite,52,50887.0,1,Medium
EMP4957,George Watson,HR,9.1,4.6,10,9,Remote,60,246684.0,27,Medium
EMP2181,Aaron Harmon,Support,10.5,4.1,7,6,REMOTE,60,227186.0,11,Low
EMP1577,John Sullivan,Sales,10.5,4.4,7,2,Onsite,46,29341.0,6,High
EMP1471,Dawn Rogers,HR,12.1,6.5,10,3,Onsite,61,215460.0,22,High
EMP1240,,Sales,14.6,4.3,6,0,Onsite,43,98755.0,15,High
EMP5796,Michael Foley,HR,4.8,3.2,5,5,Hybrid,86,233800.0,12,High
EMP1501,,Marketing,4.3,7.1,3,7,Hybrid,98,152958.0,3,Low
EMP5570,Jamie Smith,Operations,6.3,6.8,4,5,Remote,55,156833.0,29,Low
EMP2253,Daniel Hernandez,HR,,4.8,8,12,Remote,52,164868.0,23,Low
EMP4194,Shannon Cohen,IT,4.0,3.1,3,2,Hybrid,44,159642.0,21,High
EMP3086,Martin Butler,Operations,8.1,3.2,1,9,Onsite,66,56530.0,8,Medium
EMP1833,Jonathan Rose,Marketing,11.4,4.0,8,9,Hybrid,87,178002.0,0,Low
EMP5410,Michael Howard,Sales,12.0,5.2,7,9,Remote,52,73897.0,23,Low
EMP2747,Christopher Frazier,HR,10.4,8.5,9,4,Hybrid,88,171779.0,17,High
EMP2609,Kendra Monroe,Support,12.7,6.4,5,9,Remote,72,166336.0,27,High
EMP3893,Ryan Foster,IT,13.2,5.4,9,3,Hybrid,42,123250.0,5,High
EMP4046,Jill Reyes,Finance,7.8,7.5,2,5,Hybrid,97,243934.0,14,High
EMP3077,Adam Sexton,,4.7,8.7,2,3,Remote,97,,8,High
EMP2533,Martha Hernandez,Support,13.5,5.9,4,1,Hybrid,49,130695.0,19,High
EMP2321,Robert Kim,,13.6,5.7,7,8,Remote,53,200543.0,28,Low
EMP5633,Lori Miles,IT,6.2,8.7,3,3,Remote,80,241409.0,17,High
EMP4355,Joseph Freeman,Support,9.9,5.0,2,2,Hybrid,92,201204.0,1,Low
EMP4750,Michael Flores,Operations,9.3,7.7,5,7,Onsite,98,151590.0,1,Low
EMP2789,Patricia Smith,Sales,5.7,6.6,10,10,Onsite,56,135845.0,21,High
EMP1351,Ian Sims,Marketing,9.6,6.0,8,6,Remote,85,,14,Low
EMP1254,Dawn Walsh,HR,12.5,7.3,5,9,Hybrid,70,75400.0,30,High
EMP1842,Paul Guzman,IT,10.8,7.8,2,3,Hybrid,97,145028.0,2,Low
EMP2281,Amanda Stone,Operations,5.6,5.7,8,1,Hybrid,47,176478.0,13,Low
EMP1296,,Finance,7.5,4.7,8,8,Hybrid,81,119177.0,9,High
EMP5990,Brad Bryant,Marketing,5.4,7.1,2,6,Hybrid,96,95305.0,11,Low
EMP3851,Tammy Moran,Operations,14.7,3.9,4,10,Hybrid,78,223749.0,18,Medium
EMP3897,Thomas Murillo,IT,14.2,5.7,1,5,Hybrid,83,27825.0,30,High
EMP1677,Joseph Knight,Sales,10.2,5.9,10,3,Remote,75,186479.0,23,Low
EMP3929,Robert Lambert,HR,8.1,7.4,3,2,Onsite,45,156522.0,17,Medium
EMP4902,Troy Cole,,11.5,6.8,2,4,Remote,90,56856.0,19,High
EMP5478,Tammy Gardner,HR,11.8,,4,11,Hybrid,53,174596.0,13,High
EMP2220,Gina Mccarty,Finance,9.0,5.6,6,12,Hybrid,69,156656.0,9,High
EMP1199,Rodney Lopez,IT,8.1,5.3,2,5,Onsite,54,32389.0,10,High
EMP4017,Stephanie Thompson,IT,14.6,6.4,3,0,Hybrid,64,134301.0,12,High
EMP5183,,Sales,14.4,7.5,6,5,Remote,95,54509.0,6,High
EMP2322,Ronald Ross,Finance,5.0,,6,12,Hybrid,59,68131.0,6,Medium
EMP2844,Devin Thompson,IT,4.1,8.3,5,4,Remote,88,67274.0,2,Medium
EMP4477,Emily Moore,Marketing,10.0,3.6,8,3,Remote,55,140936.0,8,Low
EMP1472,Bradley Brown,Support,11.0,5.9,6,8,Onsite,59,246621.0,5,High
EMP3242,Courtney Jones,Sales,13.6,3.4,1,5,Remote,61,,1,High
EMP5327,Grace Grant,Support,13.7,7.8,4,0,Hybrid,46,127431.0,30,Medium
EMP3394,Audrey Ortega,HR,12.2,5.3,5,2,Onsite,57,59655.0,28,High
EMP2743,Christopher Anderson,Finance,12.1,7.5,3,7,Onsite,94,,10,High
EMP4673,Pamela Diaz,Finance,12.0,3.8,7,7,Onsite,40,236767.0,17,High
EMP4904,Brittany Campbell,HR,10.2,7.5,2,9,Onsite,91,234608.0,19,Medium
EMP2468,James Harris,Sales,14.5,3.5,4,12,Hybrid,74,102548.0,10,Low
EMP3228,Mr. Brian Wilson,Support,6.3,4.8,6,4,Hybrid,69,fifty thousand,10,Low
EMP3022,Ashley Gonzalez,IT,14.6,5.5,6,12,Remote,76,208462.0,5,Medium
EMP1811,Brent Ewing,Sales,12.3,4.0,6,8,Remote,50,139992.0,7,Low
